"DATE","DAY","S39","G94A","G94B","G94C","ACME2","ACME1","S362","G300","S5AS","S5A","G301","G310","G251","S6","G338","S10E","S10D","S10C","S10A"
2009-07-01,5296,0,0,0,0,0,0,577164.297330222,0,0,0,0,4782519.39238543,0,0,0,0,-2280208.408872,-2297334.437694,-2275315.25778
2009-07-02,5297,0,0,0,0,0,0,2105975.53136361,22.019179914,0,0,0,5657086.96651186,39588.038909826,0,0,0,-2280208.408872,-2267975.531142,-2221490.595768
2009-07-03,5298,0,0,0,0,0,0,900476.809158576,0,0,0,0,6381975.49530956,337098.965030064,0,0,0,-2299781.01324,-2223937.171314,-2201917.9914
2009-07-04,5299,-109760.718720198,0,0,0,0,0,355127.780228538,0,0,0,0,6086333.75290647,18373.78235046,0,0,0,-2314460.466516,-2194578.264762,-2192131.689216
2009-07-05,5300,-316271.267406966,0,0,0,0,0,348614.996125086,0,0,0,0,4315446.10147411,0,0,0,0,-2324246.7687,-2204364.566946,-2187238.538124
2009-07-06,5301,-109095.250171686,0,0,0,0,0,172657.282856766,0,0,0,0,2538065.23854267,0,0,0,0,-2304674.164332,-2197024.840308,-2172559.084848
2009-07-07,5302,-149008.68362913,0,0,0,0,0,202121.392157244,0,0,0,0,1919761.77340646,0,0,0,0,-2267975.531142,-2189685.11367,-2145646.753842
2009-07-08,5303,-190289.752816788,0,0,0,0,0,0,0,0,0,0,808510.034384436,0,0,0,0,0,0,0
2009-07-09,5304,-165535.30144236,0,0,0,0,0,354716.75553681,0,0,0,0,635189.729554704,0,0,0,0,0,0,0
2009-07-10,5305,-155981.42393523,0,0,0,0,0,57494.525331,0,0,0,0,446089.012453272,223741.780257246,0,0,0,0,0,0
2009-07-11,5306,-147420.856099776,0,0,0,0,0,0,0,0,0,0,447569.190658602,271188.219820824,0,0,0,0,0,0
2009-07-12,5307,-480446.27284575,0,0,0,0,0,94056.150290424,0,0,0,0,451417.65399246,289378.509005334,0,0,0,0,0,0
2009-07-13,5308,-255855.530874042,0,0,0,0,0,118720.07836965,0,0,0,0,440290.628409252,83575.02065136,0,0,0,0,0,0
2009-07-14,5309,-339592.025511438,0,0,0,0,0,308792.085962844,0,0,0,0,936096.50253279,120466.933309494,0,0,0,-1125424.75116,-1115638.448976,-1137657.62889
2009-07-15,5310,-101992.841361648,0,0,0,0,0,86466.872946732,0,0,0,0,726026.186426592,125959.495410264,0,0,0,0,0,0
2009-07-16,5311,-56579.506076796,0,0,0,0,0,332244.9591468,0,0,0,-1805.572752948,870501.365568984,44747.86673634,0,0,0,0,0,0
2009-07-17,5312,-655366.638082566,0,0,0,0,0,61320.969484944,0,0,0,0,442066.842255648,68557.939950012,0,0,0,0,0,0
2009-07-18,5313,-731726.707448772,0,0,0,0,0,160505.142119784,0,0,0,0,443397.779352672,79929.62308782,0,0,0,-743758.965984,-736419.239346,-746205.54153
2009-07-19,5314,-643253.64255432,0,0,0,0,0,107766.759650208,0,0,0,0,370343.033549112,33659.986361868,0,0,0,-741312.390438,-736419.239346,-748652.117076
2009-07-20,5315,-171661.526609544,0,0,0,0,0,405859.970750394,0,0,0,0,648773.116986096,62495.325747024,0,0,0,-763331.570352,-746205.54153,-763331.570352
2009-07-21,5316,-578539.272787074,0,0,0,0,0,352116.045731412,0,0,0,0,1207798.50321827,0,0,0,0,-768224.721444,-751098.692622,-768224.721444
2009-07-22,5317,-882624.147399414,0,0,0,0,0,282080.374151616,0,0,0,0,903473.864202426,75919.685767926,0,0,0,-1086279.542424,-1042241.182596,-1052027.48478
2009-07-23,5318,-882624.147399414,0,0,0,0,0,0,0,0,0,0,768236.95432173,121545.87312528,0,0,0,-1301578.190472,-1274665.859466,-1284452.16165
2009-07-24,5319,-880713.371897988,0,0,0,0,0,121355.040232692,0,0,0,0,307123.521440472,34494.268623054,0,0,0,-1289345.312742,-1269772.708374,-1286898.737196
2009-07-25,5320,-879671.130715392,0,0,0,0,0,350129.42638806,0,0,0,0,317418.71133804,0,0,0,0,-1277112.435012,-1262432.981736,-1269772.708374
2009-07-26,5321,-877611.11410566,0,0,0,0,0,0,0,0,0,0,369892.863648648,0,0,0,0,-1255093.255098,-1247753.52846,-1257539.830644
2009-07-27,5322,-701031.970648656,0,0,0,0,0,156979.626757998,0,0,0,0,269164.901844282,0,0,0,0,-1235520.65073,-1206161.744178,-1242860.377368
2009-07-28,5323,-400360.068922986,0,0,0,0,0,252100.037410932,0,0,0,0,193426.26266676,0,0,0,0,-1220841.197454,-1191482.290902,-1228180.924092
2009-07-29,5324,0,0,0,0,0,0,226158.996896694,0,0,0,0,108965.581667748,0,0,0,0,-398791.813998,-437937.022734,-479528.807016
2009-07-30,5325,-259931.525733678,0,0,0,0,0,0,0,0,0,0,69389.775635652,0,0,0,0,0,0,0
2009-07-31,5326,-420250.728111966,0,0,0,0,0,0,0,0,0,0,36016.038612666,0,0,0,0,0,0,0
2009-08-01,5327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-02,5328,0,0,0,0,0,0,200736.630398208,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-03,5329,0,0,0,0,0,0,565.158951126,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-04,5330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-05,5331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-06,5332,0,0,0,0,0,0,1795.786450764,-868.53431883,0,0,-1467.9453276,0,0,0,0,0,0,0,0
2009-08-07,5333,0,0,0,0,0,0,0,0,0,0,0,286437.725199042,0,0,0,0,0,0,0
2009-08-08,5334,0,0,0,0,0,0,0,0,0,0,0,108527.644645014,0,0,0,0,0,0,0
2009-08-09,5335,0,0,0,0,0,0,0,0,0,0,0,196516.287581358,0,0,0,0,0,0,0
2009-08-10,5336,0,0,0,0,0,0,0,0,0,0,0,605380.65310224,0,0,0,0,0,0,0
2009-08-11,5337,0,0,0,0,0,0,240691.655639934,0,0,0,0,899226.60905457,0,0,0,0,0,0,0
2009-08-12,5338,0,0,0,0,0,0,782.90417472,0,0,0,0,919863.47378508,0,0,-327.841123164,0,0,0,0
2009-08-13,5339,0,0,0,0,0,0,0,0,0,0,0,3049680.88384446,0,0,0,0,0,0,0
2009-08-14,5340,0,0,0,0,0,0,0,0,0,0,0,3660262.9565575,0,0,0,0,0,0,0
2009-08-15,5341,0,0,0,0,0,0,119375.760615978,0,0,0,0,2056412.80395274,0,0,0,0,0,0,0
2009-08-16,5342,0,0,0,0,0,0,577526.39051103,0,0,0,0,1380783.6271982,0,0,0,0,0,0,0
2009-08-17,5343,0,0,0,0,0,0,412685.916523734,0,0,0,0,1704076.56642219,10738.020071394,0,0,0,0,0,0
2009-08-18,5344,0,0,0,0,0,0,0,0,0,0,0,1944247.10147083,0,0,0,0,0,0,0
2009-08-19,5345,0,0,0,0,0,0,98900.369871504,0,0,0,0,1371635.88123171,0,0,0,0,0,0,0
2009-08-20,5346,0,0,0,167568.405721086,0,0,212597.628645216,0,0,0,0,1060044.91284424,0,0,0,0,0,0,0
2009-08-21,5347,0,0,0,239284.874700984,0,0,282006.976885236,0,0,0,0,660783.35634141,0,0,0,0,0,0,0
2009-08-22,5348,0,0,0,175270.225539894,0,0,0,0,0,0,0,312613.636965696,0,0,0,0,0,0,0
2009-08-23,5349,0,0,0,0,0,0,389193.898131042,0,0,0,0,334258.490821158,0,0,0,0,0,0,0
2009-08-24,5350,0,0,0,125651.226891468,0,0,841176.711074628,0,0,0,0,1262611.58175086,0,0,0,0,0,0,0
2009-08-25,5351,0,0,0,2962.802986206,0,0,908699.749568682,0,0,0,0,1087791.52611143,0,0,0,0,0,0,0
2009-08-26,5352,0,0,0,2957.909835114,0,0,68866.208468808,0,0,0,0,941889.993425718,0,0,0,0,0,0,0
2009-08-27,5353,0,0,0,0,0,0,0,0,0,0,0,449585.168908506,0,0,0,0,0,0,0
2009-08-28,5354,0,0,0,0,0,0,56892.667746684,0,0,0,0,435786.482829066,0,0,0,0,0,0,0
2009-08-29,5355,0,0,0,0,0,0,128286.18875451,0,0,0,0,280844.853500886,0,0,0,0,0,0,0
2009-08-30,5356,0,0,0,0,0,0,0,0,0,0,0,558416.188921224,0,0,0,0,0,0,0
2009-08-31,5357,0,0,0,0,0,0,78561.987357606,0,0,0,0,494575.2466239,0,0,0,0,0,0,0
2009-09-01,5358,0,0,0,0,0,0,463934.334485796,0,0,0,0,608397.280750458,0,0,0,0,0,0,0
2009-09-02,5359,0,0,0,0,0,0,578906.259118974,0,0,0,0,1479657.0847387,0,0,0,0,0,0,0
2009-09-03,5360,0,0,0,0,0,0,579674.483840418,0,0,0,0,1270315.84814521,0,0,0,0,0,0,0
2009-09-04,5361,0,0,0,0,0,0,280957.395976002,0,0,0,0,1421012.66890108,0,0,0,0,0,0,0
2009-09-05,5362,0,0,0,0,0,0,204925.16773296,0,0,0,0,1238808.84826382,0,0,0,0,0,0,0
2009-09-06,5363,0,0,0,0,0,0,577293.96583416,0,0,0,0,1707783.12837438,0,0,0,0,0,0,0
2009-09-07,5364,0,0,0,0,0,0,587202.59679546,0,0,0,0,1623589.12410988,0,0,0,0,0,0,0
2009-09-08,5365,0,0,0,0,0,0,1183582.29846397,0,0,0,0,3704886.04794099,0,0,0,0,0,0,0
2009-09-09,5366,0,0,0,0,0,0,792881.309796588,0,0,0,0,3844074.17732848,0,0,0,0,0,0,0
2009-09-10,5367,0,0,0,0,0,0,913054.654040562,0,0,0,0,2565324.9832762,0,0,0,0,0,0,0
2009-09-11,5368,0,0,0,0,0,0,286567.39370298,0,0,0,0,2868064.24133824,0,0,0,0,0,0,0
2009-09-12,5369,0,0,0,0,0,0,0,0,0,0,0,2316845.87767335,0,0,0,0,0,0,0
2009-09-13,5370,0,0,0,0,0,0,105807.052637862,0,0,0,0,2230520.90610829,0,0,0,0,0,0,0
2009-09-14,5371,0,0,0,0,0,0,286310.50327065,0,0,0,0,2505053.59470049,0,0,0,0,0,0,0
2009-09-15,5372,0,0,0,0,0,0,190598.021335584,0,0,0,0,1586070.88811197,0,0,0,0,0,0,0
2009-09-16,5373,0,0,0,0,0,0,0,0,0,0,0,1230292.3187882,0,0,-159.02741049,0,0,0,0
2009-09-17,5374,0,0,0,0,0,0,179341.327248438,0,0,0,0,728675.82774291,0,0,0,0,0,0,0
2009-09-18,5375,0,0,0,0,0,0,0,0,0,0,0,457675.994239128,0,0,0,0,0,0,0
2009-09-19,5376,0,0,0,0,0,0,0,0,0,0,0,327594.019033854,0,0,0,0,0,0,0
2009-09-20,5377,0,0,0,0,0,0,208675.768044978,0,0,0,0,173679.951434994,0,0,0,0,0,0,0
2009-09-21,5378,0,0,0,0,0,0,103340.904487494,0,0,0,0,76724.60912256,0,0,0,0,0,0,0
2009-09-22,5379,-491.761684746,0,0,0,0,0,279438.072561936,0,0,0,0,30286.158683934,0,0,0,0,0,0,0
2009-09-23,5380,0,0,0,0,0,0,0,0,0,0,0,4509.038731278,0,0,0,0,0,0,0
2009-09-24,5381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-25,5382,0,0,0,0,0,0,173359.450038468,0,0,0,0,61533.821557446,0,0,0,0,0,0,0
2009-09-26,5383,0,0,0,0,0,0,204861.556768764,0,0,0,0,281556.806984772,0,0,0,0,0,0,0
2009-09-27,5384,0,0,0,0,0,0,0,0,0,0,0,338946.129567294,0,0,0,0,0,0,0
2009-09-28,5385,0,0,0,0,0,0,0,0,0,0,0,213840.489022584,0,0,0,0,0,0,0
2009-09-29,5386,0,0,0,0,0,0,443258.32454655,0,0,0,0,311818.499913246,0,0,0,0,0,0,0
2009-09-30,5387,0,0,0,0,0,0,568633.08840132,0,0,0,0,375879.63400971,0,0,0,0,0,0,0
2009-10-01,5388,0,0,0,0,0,0,270356.384135184,0,0,0,0,429259.019272338,0,0,0,0,0,0,0
2009-10-02,5389,0,0,0,0,0,0,236591.195024838,0,0,0,0,396565.43025114,0,0,0,0,0,0,0
2009-10-03,5390,0,0,0,0,0,0,113090.508038304,0,0,0,0,222557.637692982,0,0,0,0,0,0,0
2009-10-04,5391,0,0,0,0,0,0,0,0,0,0,0,267195.408529752,0,0,0,0,0,0,0
2009-10-05,5392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-06,5393,0,0,0,0,0,0,0,0,0,0,-494.208260292,0,0,0,0,0,0,0,0
2009-10-07,5394,0,0,0,0,0,0,312733.51916745,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-08,5395,0,0,0,0,0,0,574387.434085512,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-09,5396,0,0,0,0,0,0,579395.574228174,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-10,5397,0,0,0,0,0,0,588000.180423456,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-11,5398,0,0,0,0,0,0,583716.22664241,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-12,5399,0,0,0,0,0,0,108520.304918376,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-13,5400,0,0,0,206801.691176742,0,0,340876.477673088,0,0,0,0,0,0,0,-269.12331006,0,0,0,0
2009-10-14,5401,0,0,0,298281.597417228,0,0,447894.58520622,0,0,0,0,9370.38434118,0,0,0,0,0,0,0
2009-10-15,5402,0,0,0,295255.183466826,0,0,401436.562163226,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-16,5403,0,0,0,175818.258462198,0,0,135050.9701392,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-17,5404,0,0,0,0,0,0,222900.158269422,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-18,5405,0,0,0,0,0,0,149182.390492896,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-19,5406,0,0,0,289848.251510166,0,0,220223.604622098,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-20,5407,0,0,0,130534.591681284,0,0,201761.745551982,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-21,5408,0,0,0,0,0,0,189117.843130254,0,0,0,-1717.496033292,0,0,0,0,0,0,0,0
2009-10-22,5409,0,0,0,0,0,0,141793.732343976,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-23,5410,0,0,0,0,0,0,188772.875978268,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-24,5411,0,0,0,0,0,0,64570.021810032,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-25,5412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-26,5413,0,0,0,149468.639831778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-27,5414,0,0,0,0,0,0,89745.284178372,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-28,5415,0,0,0,0,0,0,129228.12033972,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-29,5416,-190942.98848757,0,0,190509.944615928,0,0,35644.159129674,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-30,5417,-31431.156039462,0,0,164390.304086832,0,0,193.279468134,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-31,5418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,5419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-02,5420,0,0,0,0,0,0,77898.96538464,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-03,5421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-04,5422,-80465.423132394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-05,5423,-146192.675175684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-06,5424,0,0,0,0,0,0,68528.58104346,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-07,5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-08,5426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-09,5427,0,0,0,0,0,0,68888.227648722,-692.380879518,0,0,-484.421958108,0,0,0,0,0,0,0,0
2009-11-10,5428,0,0,0,0,0,0,95.416446294,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-11,5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-12,5430,0,0,0,0,0,0,67784.822077476,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-13,5431,-94826.821587414,0,0,0,0,0,59419.980285702,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-14,5432,-56322.615644466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-15,5433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-16,5434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-689.934303972,0,0,0,0
2009-11-17,5435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-18,5436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-19,5437,-58186.906210518,0,0,164091.82187022,0,0,92250.577537476,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-20,5438,-199501.109747478,0,0,156644.445908196,0,0,11900.143455744,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-21,5439,-199647.904280238,0,0,80445.850528026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-22,5440,-162232.42445526,0,0,244075.269620052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-23,5441,-117078.426178284,0,0,153307.316863452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-24,5442,-85590.998901264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-25,5443,0,0,0,0,0,0,282873.06462852,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-26,5444,0,0,0,0,0,0,144915.562740672,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-27,5445,0,0,0,0,0,0,150515.774165466,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-28,5446,0,0,0,0,0,0,67833.753588396,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-29,5447,0,0,0,0,0,0,69805.693478472,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-30,5448,0,0,0,0,0,0,76565.58171207,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,5449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-02,5450,0,0,0,0,0,0,0,0,0,0,0,76225.507711176,0,0,0,0,0,0,0
2009-12-03,5451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-04,5452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-05,5453,0,0,0,0,0,0,103942.76207181,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-06,5454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-07,5455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-08,5456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-09,5457,0,0,0,0,0,0,98039.175279312,0,0,0,-638.556217506,0,0,0,0,0,0,0,0
2009-12-10,5458,0,0,0,0,0,0,0,0,0,0,0,4286.400356592,0,0,0,0,0,0,0
2009-12-11,5459,0,0,0,0,0,0,193159.585932246,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-12,5460,0,0,0,0,0,0,160443.977731134,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-13,5461,0,0,0,0,0,0,160742.459947746,0,0,0,0,2179.898811486,0,0,0,0,0,0,0
2009-12-14,5462,0,0,0,0,0,0,121014.966231798,0,0,0,0,368554.586824986,0,0,0,0,0,0,0
2009-12-15,5463,0,0,0,0,0,0,506450.924324184,0,0,0,0,760887.441381546,0,0,0,0,0,0,0
2009-12-16,5464,0,0,0,0,0,0,239106.274686126,0,0,0,0,361241.772517992,64207.928629224,0,0,0,0,0,0
2009-12-17,5465,0,0,0,0,0,0,502871.584300386,0,0,0,0,644107.497419874,170452.91828982,0,0,0,0,0,0
2009-12-18,5466,0,0,0,0,0,0,1642926.85722547,0,0,0,0,1111496.39657662,89468.821141674,0,0,0,0,0,0
2009-12-19,5467,0,0,0,0,0,0,1432885.90002582,0,0,0,0,1191103.07169237,0,0,0,0,0,0,0
2009-12-20,5468,0,0,0,0,0,0,428544.619212906,0,0,0,0,288064.697937132,90513.508899816,0,0,0,0,0,0
2009-12-21,5469,0,0,0,0,0,0,20710.26199689,0,0,0,0,931797.869298468,245112.617651556,0,0,0,0,0,0
2009-12-22,5470,0,0,0,0,0,0,0,0,0,0,0,252865.81555683,230039.26571265,0,0,0,0,0,0
2009-12-23,5471,0,0,0,0,0,0,519014.089752894,0,0,0,0,221581.454050128,63493.528569792,0,0,0,0,0,0
2009-12-24,5472,0,0,0,0,0,0,436217.080125162,0,0,0,0,206153.348657052,0,0,0,0,0,0,0
2009-12-25,5473,0,0,0,0,0,0,219780.774448272,0,0,0,0,19310.820784578,0,0,0,0,0,0,0
2009-12-26,5474,0,0,0,0,0,0,0,0,0,0,0,33552.337037844,0,0,0,0,0,0,0
2009-12-27,5475,0,0,0,0,0,0,62864.75865447,0,0,0,0,134126.164582812,0,0,0,0,0,0,0
2009-12-28,5476,0,0,0,0,0,0,17245.911023754,0,0,0,0,57085.947214818,0,0,0,0,0,0,0
2009-12-29,5477,0,0,0,0,0,0,572824.072311618,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-30,5478,0,0,0,0,0,0,2869.833115458,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-31,5479,0,0,0,0,0,0,262972.619137356,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,5480,0,0,0,0,0,0,502656.285652338,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-02,5481,0,0,0,161028.709286628,0,0,225992.629759566,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-03,5482,0,0,0,247803.850752156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-04,5483,0,0,0,245305.89711969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-05,5484,0,0,0,272044.521261924,0,0,0,0,0,0,-1137.65762889,0,234.871252416,0,0,0,0,0,0
2010-01-06,5485,0,0,0,306800.5734684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-07,5486,0,0,0,116963.437127622,0,0,0,0,0,0,0,16071.554761674,0,0,0,0,0,0,0
2010-01-08,5487,0,0,0,0,0,0,66439.205527176,0,0,0,0,42494.570658474,0,0,0,0,0,0,0
2010-01-09,5488,0,0,0,69191.603016426,0,0,581986.497731388,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-10,5489,0,0,0,282168.450871272,0,0,196208.019062562,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-11,5490,0,0,0,103384.942847322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-12,5491,0,0,0,0,0,0,0,-151.687683852,0,0,0,0,0,0,0,0,0,0,0
2010-01-13,5492,0,0,0,0,0,0,143222.53246284,-533.353469028,0,0,-1392.101485674,0,0,0,0,0,0,0,0
2010-01-14,5493,0,0,0,0,0,0,287007.77730126,0,0,0,-6463.852592532,0,0,0,0,0,0,0,0
2010-01-15,5494,0,0,0,0,0,0,411139.680778662,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-16,5495,0,0,0,0,0,0,253893.37728615,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-17,5496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-18,5497,0,0,0,0,0,0,0,0,0,0,0,123603.443159466,0,0,0,0,0,0,0
2010-01-19,5498,0,0,0,0,0,0,47899.056039588,0,0,0,0,225407.898204072,0,0,0,0,0,0,0
2010-01-20,5499,0,0,0,0,0,0,0,0,0,0,0,225723.506449506,0,0,0,0,0,0,0
2010-01-21,5500,0,0,0,0,0,0,0,0,0,0,0,222836.547305226,0,0,-1132.764477798,0,0,0,0
2010-01-22,5501,0,0,0,0,0,0,0,0,0,0,0,4056.422255268,0,0,0,0,0,0,0
2010-01-23,5502,0,0,0,0,0,0,0,0,0,0,0,185032.061968434,0,0,0,0,0,0,0
2010-01-24,5503,0,0,0,0,0,0,0,0,0,0,0,310078.98470004,0,0,0,0,0,0,0
2010-01-25,5504,-386.558936268,0,0,0,0,0,126598.05162777,0,0,0,0,288490.402082136,0,0,0,0,0,0,0
2010-01-26,5505,0,0,0,0,0,0,142429.841985936,0,0,0,0,295301.6684022,0,0,0,0,0,0,0
2010-01-27,5506,0,0,0,0,0,0,29711.213430624,0,0,0,0,160231.125658632,0,0,0,0,0,0,0
2010-01-28,5507,0,0,0,0,0,0,5103.556588956,0,0,0,0,223592.53914894,0,0,0,0,0,0,0
2010-01-29,5508,0,0,0,0,0,0,0,0,0,0,0,76139.877567066,0,0,0,0,0,0,0
2010-01-30,5509,0,0,0,0,0,0,0,0,0,0,0,55640.021067132,0,0,0,0,0,0,0
2010-01-31,5510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,5511,0,0,0,0,0,0,0,0,0,0,0,282677.33858484,0,0,0,0,0,0,0
2010-02-02,5512,0,0,0,0,0,0,188327.599228896,0,0,0,0,442700.505322062,0,0,0,0,0,0,0
2010-02-03,5513,0,0,0,0,0,0,301760.62784364,0,0,0,0,329680.947974592,0,0,0,0,0,0,0
2010-02-04,5514,0,0,0,0,0,0,235915.940174142,-63.610964196,0,0,0,245369.508083886,0,0,0,0,0,0,0
2010-02-05,5515,0,0,0,0,0,0,0,0,0,0,0,224994.426936798,0,0,0,0,0,0,0
2010-02-06,5516,0,0,0,0,0,0,0,0,0,0,0,158317.90358166,0,0,0,0,0,0,0
2010-02-07,5517,0,0,0,0,0,0,289077.580213176,0,0,0,0,111135.69417705,0,0,0,0,0,0,0
2010-02-08,5518,0,0,0,0,0,0,239678.77336389,0,0,0,0,223154.602126206,0,0,0,0,0,0,0
2010-02-09,5519,0,0,0,0,0,0,0,0,0,0,0,73336.10199135,0,0,-117.435626208,0,0,0,0
2010-02-10,5520,0,0,0,0,0,0,80996.330025876,0,0,0,0,51984.837201408,0,0,0,0,0,0,0
2010-02-11,5521,0,0,0,0,0,0,0,0,0,0,0,45520.984608876,0,0,-95.416446294,0,0,0,0
2010-02-12,5522,0,0,0,0,0,0,127865.377760598,0,0,0,0,92152.714515636,0,0,0,0,0,0,0
2010-02-13,5523,0,0,0,0,0,0,283792.977033816,0,0,0,0,108965.581667748,0,0,0,0,0,0,0
2010-02-14,5524,0,0,0,0,0,0,207105.066544446,0,0,0,0,231468.065831514,0,0,0,0,0,0,0
2010-02-15,5525,0,0,0,0,0,0,22327.448432796,0,0,0,0,196004.953292244,0,0,0,0,0,0,0
2010-02-16,5526,0,0,0,0,0,0,0,0,0,0,0,167252.797475652,0,0,0,0,0,0,0
2010-02-17,5527,0,0,0,106653.567776778,0,0,0,0,0,0,0,132107.739757362,0,0,0,0,0,0,0
2010-02-18,5528,0,0,0,269889.088205898,0,0,0,0,0,0,0,100064.9398314,0,0,0,0,0,0,0
2010-02-19,5529,0,187730.634795672,0,270598.595114238,0,0,0,0,0,0,0,61910.59419153,0,0,0,0,0,0,0
2010-02-20,5530,0,174832.28851716,0,269950.252594548,0,0,0,0,0,0,0,33310.12605879,0,0,0,0,0,0,0
2010-02-21,5531,0,0,0,206985.184342692,0,0,0,0,0,0,0,57717.163705686,0,0,0,0,0,0,0
2010-02-22,5532,0,0,0,0,0,0,0,0,0,0,0,220424.22381687,0,0,0,0,0,0,0
